20
4 3
4 4
4 6
5 0
5 1
5 2
5 3
5 4
5 5
5 6
6 0
6 1
6 2
6 3
6 4
6 5
6 6
64
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 0
1 3
1 6
1 9
2 0
2 3
2 6
2 9
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
4 0
4 3
4 6
4 9
5 0
5 3
5 6
5 9
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
7 0
7 3
7 6
7 9
8 0
8 3
8 6
8 9
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
64
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 0
1 3
1 6
1 9
2 0
2 3
2 6
2 9
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
4 0
4 3
4 6
4 9
5 0
5 3
5 6
5 9
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
7 0
7 3
7 6
7 9
8 0
8 3
8 6
8 9
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
69
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 0
1 3
1 6
1 9
2 0
2 1
2 2
2 3
2 6
2 9
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
4 0
4 3
4 6
4 7
4 9
5 0
5 3
5 6
5 9
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
7 0
7 3
7 5
7 6
7 9
8 0
8 3
8 6
8 8
8 9
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
72
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 0
1 3
1 5
1 6
1 8
1 9
2 0
2 3
2 6
2 9
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
4 0
4 3
4 4
4 6
4 9
5 0
5 3
5 5
5 6
5 8
5 9
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
7 0
7 1
7 3
7 6
7 9
8 0
8 3
8 5
8 6
8 8
8 9
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
71
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 0
1 3
1 5
1 6
1 9
2 0
2 1
2 3
2 4
2 5
2 6
2 9
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
4 0
4 1
4 3
4 6
4 9
5 0
5 3
5 6
5 8
5 9
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
7 0
7 3
7 6
7 9
8 0
8 2
8 3
8 6
8 9
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
78
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 0
1 3
1 5
1 6
1 9
2 0
2 3
2 4
2 5
2 6
2 7
2 9
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
4 0
4 3
4 5
4 6
4 7
4 8
4 9
5 0
5 2
5 3
5 5
5 6
5 9
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
7 0
7 2
7 3
7 4
7 6
7 7
7 9
8 0
8 3
8 4
8 6
8 8
8 9
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
84
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 0
1 1
1 3
1 4
1 6
1 8
1 9
2 0
2 3
2 4
2 5
2 6
2 7
2 9
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
4 0
4 3
4 4
4 6
4 7
4 9
5 0
5 2
5 3
5 4
5 5
5 6
5 7
5 8
5 9
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
7 0
7 2
7 3
7 4
7 5
7 6
7 8
7 9
8 0
8 1
8 2
8 3
8 6
8 7
8 9
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
92
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 0
1 1
1 2
1 3
1 4
1 6
1 7
1 9
2 0
2 1
2 2
2 3
2 4
2 5
2 6
2 7
2 9
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
4 0
4 1
4 2
4 3
4 4
4 5
4 6
4 7
4 8
4 9
5 0
5 1
5 2
5 3
5 4
5 5
5 6
5 7
5 8
5 9
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
7 0
7 1
7 3
7 4
7 5
7 6
7 9
8 0
8 3
8 4
8 5
8 6
8 7
8 8
8 9
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
96
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 0
1 1
1 2
1 3
1 4
1 5
1 6
1 8
1 9
2 0
2 1
2 2
2 3
2 5
2 6
2 7
2 8
2 9
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
4 0
4 1
4 2
4 3
4 4
4 6
4 7
4 8
4 9
5 0
5 1
5 2
5 3
5 4
5 5
5 6
5 7
5 8
5 9
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
7 0
7 1
7 2
7 3
7 4
7 5
7 6
7 7
7 9
8 0
8 1
8 2
8 3
8 4
8 5
8 6
8 7
8 8
8 9
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
94
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 0
1 1
1 2
1 3
1 4
1 5
1 6
1 7
1 9
2 0
2 1
2 2
2 3
2 4
2 5
2 6
2 7
2 8
2 9
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
4 0
4 1
4 2
4 3
4 4
4 5
4 6
4 8
4 9
5 0
5 1
5 2
5 3
5 6
5 7
5 8
5 9
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
7 0
7 2
7 3
7 4
7 5
7 6
7 7
7 8
7 9
8 0
8 1
8 2
8 3
8 5
8 6
8 7
8 8
8 9
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
105
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
1 0
1 3
1 6
1 9
1 12
2 0
2 3
2 6
2 9
2 12
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
4 0
4 3
4 6
4 9
4 12
5 0
5 3
5 6
5 9
5 12
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
7 0
7 3
7 6
7 9
7 12
8 0
8 3
8 6
8 9
8 12
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
10 0
10 3
10 6
10 9
10 12
11 0
11 3
11 6
11 9
11 12
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
109
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
1 0
1 3
1 6
1 9
1 12
2 0
2 3
2 6
2 9
2 12
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
4 0
4 3
4 6
4 9
4 12
5 0
5 3
5 4
5 6
5 9
5 12
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
7 0
7 3
7 6
7 9
7 12
8 0
8 3
8 4
8 5
8 6
8 9
8 12
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
10 0
10 3
10 6
10 9
10 12
11 0
11 3
11 6
11 9
11 10
11 12
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
117
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
1 0
1 3
1 6
1 8
1 9
1 12
2 0
2 3
2 5
2 6
2 9
2 11
2 12
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
4 0
4 3
4 6
4 9
4 12
5 0
5 2
5 3
5 6
5 9
5 12
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
7 0
7 3
7 4
7 6
7 8
7 9
7 12
8 0
8 2
8 3
8 6
8 9
8 12
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
10 0
10 3
10 5
10 6
10 8
10 9
10 11
10 12
11 0
11 1
11 3
11 6
11 9
11 11
11 12
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
125
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
1 0
1 3
1 6
1 8
1 9
1 10
1 12
2 0
2 1
2 3
2 4
2 6
2 8
2 9
2 12
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
4 0
4 2
4 3
4 6
4 9
4 12
5 0
5 1
5 2
5 3
5 4
5 5
5 6
5 7
5 9
5 12
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
7 0
7 2
7 3
7 4
7 6
7 8
7 9
7 12
8 0
8 2
8 3
8 6
8 7
8 8
8 9
8 12
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
10 0
10 3
10 6
10 7
10 9
10 12
11 0
11 3
11 5
11 6
11 8
11 9
11 12
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
136
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
1 0
1 1
1 3
1 4
1 6
1 8
1 9
1 10
1 12
2 0
2 1
2 3
2 4
2 5
2 6
2 9
2 10
2 11
2 12
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
4 0
4 1
4 3
4 6
4 8
4 9
4 10
4 12
5 0
5 3
5 6
5 9
5 10
5 11
5 12
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
7 0
7 3
7 5
7 6
7 9
7 10
7 11
7 12
8 0
8 3
8 4
8 5
8 6
8 7
8 9
8 10
8 12
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
10 0
10 1
10 2
10 3
10 4
10 6
10 7
10 8
10 9
10 10
10 12
11 0
11 1
11 3
11 4
11 5
11 6
11 9
11 10
11 12
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
132
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
1 0
1 1
1 2
1 3
1 4
1 6
1 8
1 9
1 12
2 0
2 2
2 3
2 5
2 6
2 8
2 9
2 12
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
4 0
4 1
4 3
4 6
4 7
4 9
4 10
4 12
5 0
5 1
5 2
5 3
5 6
5 8
5 9
5 12
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
7 0
7 1
7 3
7 5
7 6
7 9
7 12
8 0
8 1
8 3
8 5
8 6
8 7
8 9
8 11
8 12
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
10 0
10 3
10 4
10 6
10 7
10 8
10 9
10 11
10 12
11 0
11 2
11 3
11 4
11 6
11 7
11 9
11 11
11 12
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
143
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
1 0
1 1
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 9
1 10
1 11
1 12
2 0
2 3
2 4
2 6
2 7
2 8
2 9
2 10
2 11
2 12
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
4 0
4 1
4 2
4 3
4 5
4 6
4 8
4 9
4 11
4 12
5 0
5 3
5 5
5 6
5 7
5 8
5 9
5 10
5 12
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
7 0
7 3
7 4
7 5
7 6
7 8
7 9
7 12
8 0
8 1
8 2
8 3
8 4
8 6
8 9
8 12
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
10 0
10 1
10 3
10 4
10 6
10 7
10 9
10 10
10 12
11 0
11 2
11 3
11 5
11 6
11 7
11 8
11 9
11 10
11 11
11 12
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
153
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
1 0
1 1
1 2
1 3
1 4
1 5
1 6
1 8
1 9
1 10
1 12
2 0
2 1
2 2
2 3
2 5
2 6
2 7
2 8
2 9
2 10
2 12
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
4 0
4 1
4 3
4 4
4 5
4 6
4 7
4 9
4 10
4 11
4 12
5 0
5 2
5 3
5 4
5 5
5 6
5 7
5 8
5 9
5 10
5 12
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
7 0
7 2
7 3
7 4
7 5
7 6
7 7
7 8
7 9
7 10
7 11
7 12
8 0
8 2
8 3
8 5
8 6
8 8
8 9
8 10
8 11
8 12
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
10 0
10 1
10 3
10 4
10 6
10 7
10 8
10 9
10 10
10 11
10 12
11 0
11 3
11 4
11 5
11 6
11 7
11 8
11 9
11 10
11 11
11 12
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
152
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
1 0
1 1
1 2
1 3
1 4
1 6
1 7
1 8
1 9
1 10
1 11
1 12
2 0
2 1
2 2
2 3
2 6
2 7
2 8
2 9
2 10
2 11
2 12
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
4 0
4 1
4 2
4 3
4 5
4 6
4 9
4 10
4 11
4 12
5 0
5 1
5 2
5 3
5 6
5 7
5 8
5 9
5 10
5 12
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
7 0
7 1
7 2
7 3
7 5
7 6
7 7
7 9
7 11
7 12
8 0
8 1
8 3
8 4
8 5
8 6
8 7
8 8
8 9
8 11
8 12
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
10 0
10 1
10 2
10 3
10 4
10 5
10 6
10 7
10 8
10 9
10 11
10 12
11 0
11 3
11 4
11 5
11 6
11 7
11 8
11 9
11 10
11 11
11 12
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
162
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
1 0
1 2
1 3
1 4
1 6
1 7
1 9
1 10
1 11
1 12
2 0
2 2
2 3
2 4
2 6
2 7
2 8
2 9
2 10
2 11
2 12
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
4 0
4 1
4 2
4 3
4 4
4 5
4 6
4 7
4 8
4 9
4 10
4 11
4 12
5 0
5 1
5 2
5 3
5 4
5 5
5 6
5 7
5 8
5 9
5 10
5 11
5 12
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
7 0
7 1
7 2
7 3
7 4
7 6
7 7
7 8
7 9
7 10
7 11
7 12
8 0
8 1
8 2
8 3
8 4
8 5
8 6
8 8
8 9
8 10
8 11
8 12
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
10 0
10 1
10 2
10 3
10 4
10 5
10 6
10 7
10 8
10 9
10 10
10 11
10 12
11 0
11 1
11 2
11 3
11 4
11 5
11 6
11 7
11 8
11 9
11 10
11 11
11 12
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
156
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 15
1 0
1 3
1 6
1 9
1 12
1 15
2 0
2 3
2 6
2 9
2 12
2 15
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
3 13
3 14
3 15
4 0
4 3
4 6
4 9
4 12
4 15
5 0
5 3
5 6
5 9
5 12
5 15
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 14
6 15
7 0
7 3
7 6
7 9
7 12
7 15
8 0
8 3
8 6
8 9
8 12
8 15
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
9 13
9 14
9 15
10 0
10 3
10 6
10 9
10 12
10 15
11 0
11 3
11 6
11 9
11 12
11 15
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
12 13
12 14
12 15
13 0
13 3
13 6
13 9
13 12
13 15
14 0
14 3
14 6
14 9
14 12
14 15
15 0
15 1
15 2
15 3
15 4
15 5
15 6
15 7
15 8
15 9
15 10
15 11
15 12
15 13
15 14
15 15
164
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 15
1 0
1 3
1 6
1 9
1 12
1 15
2 0
2 1
2 3
2 6
2 9
2 12
2 15
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
3 13
3 14
3 15
4 0
4 3
4 6
4 9
4 12
4 15
5 0
5 3
5 6
5 9
5 12
5 14
5 15
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 14
6 15
7 0
7 3
7 6
7 9
7 10
7 12
7 15
8 0
8 2
8 3
8 6
8 9
8 12
8 15
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
9 13
9 14
9 15
10 0
10 3
10 6
10 9
10 12
10 14
10 15
11 0
11 3
11 6
11 9
11 12
11 13
11 15
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
12 13
12 14
12 15
13 0
13 3
13 6
13 9
13 12
13 15
14 0
14 3
14 6
14 7
14 9
14 12
14 13
14 15
15 0
15 1
15 2
15 3
15 4
15 5
15 6
15 7
15 8
15 9
15 10
15 11
15 12
15 13
15 14
15 15
180
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 15
1 0
1 3
1 4
1 6
1 9
1 12
1 15
2 0
2 1
2 2
2 3
2 6
2 7
2 9
2 12
2 15
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
3 13
3 14
3 15
4 0
4 1
4 3
4 6
4 9
4 12
4 13
4 15
5 0
5 3
5 6
5 7
5 8
5 9
5 12
5 15
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 14
6 15
7 0
7 3
7 6
7 8
7 9
7 12
7 15
8 0
8 3
8 6
8 7
8 8
8 9
8 12
8 15
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
9 13
9 14
9 15
10 0
10 3
10 6
10 9
10 12
10 15
11 0
11 2
11 3
11 5
11 6
11 8
11 9
11 10
11 12
11 13
11 15
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
12 13
12 14
12 15
13 0
13 3
13 4
13 5
13 6
13 7
13 8
13 9
13 12
13 15
14 0
14 1
14 3
14 6
14 7
14 9
14 10
14 12
14 13
14 15
15 0
15 1
15 2
15 3
15 4
15 5
15 6
15 7
15 8
15 9
15 10
15 11
15 12
15 13
15 14
15 15
184
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 15
1 0
1 1
1 3
1 6
1 9
1 12
1 15
2 0
2 3
2 5
2 6
2 9
2 10
2 12
2 14
2 15
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
3 13
3 14
3 15
4 0
4 3
4 5
4 6
4 9
4 12
4 13
4 15
5 0
5 3
5 4
5 5
5 6
5 9
5 12
5 14
5 15
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 14
6 15
7 0
7 1
7 3
7 6
7 8
7 9
7 11
7 12
7 13
7 14
7 15
8 0
8 1
8 3
8 6
8 7
8 9
8 12
8 15
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
9 13
9 14
9 15
10 0
10 3
10 4
10 6
10 7
10 8
10 9
10 10
10 12
10 14
10 15
11 0
11 3
11 6
11 9
11 11
11 12
11 15
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
12 13
12 14
12 15
13 0
13 2
13 3
13 5
13 6
13 9
13 11
13 12
13 14
13 15
14 0
14 2
14 3
14 4
14 6
14 9
14 12
14 15
15 0
15 1
15 2
15 3
15 4
15 5
15 6
15 7
15 8
15 9
15 10
15 11
15 12
15 13
15 14
15 15
188
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 15
1 0
1 3
1 4
1 6
1 7
1 9
1 12
1 15
2 0
2 2
2 3
2 6
2 7
2 9
2 10
2 11
2 12
2 15
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
3 13
3 14
3 15
4 0
4 1
4 3
4 4
4 5
4 6
4 9
4 12
4 15
5 0
5 3
5 5
5 6
5 9
5 11
5 12
5 14
5 15
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 14
6 15
7 0
7 2
7 3
7 6
7 9
7 11
7 12
7 13
7 15
8 0
8 2
8 3
8 4
8 6
8 9
8 11
8 12
8 13
8 15
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
9 13
9 14
